trip_id,headway_secs
14580885-MAR19-MVS-SUB-Weekday-01,10800
14580887-MAR19-MVS-SUB-Weekday-01,5400
14580892-MAR19-MVS-SUB-Weekday-01,21600
14580896-MAR19-MVS-SUB-Weekday-01,10800
14580898-MAR19-MVS-SUB-Weekday-01,1350
14580916-MAR19-MVS-SUB-Weekday-01,2700
14580923-MAR19-MVS-SUB-Weekday-01,3600
14580929-MAR19-MVS-SUB-Weekday-01,2700
14580936-MAR19-MVS-SUB-Weekday-01,10800
14580941-MAR19-MVS-SUB-Weekday-01,3600
14580964-MAR19-MVS-SUB-Weekday-01,10800
14580966-MAR19-MVS-SUB-Weekday-01,2700
14580970-MAR19-MVS-SUB-Weekday-01,21600
14580972-MAR19-MVS-SUB-Weekday-01,5400
14580984-MAR19-MVS-SUB-Weekday-01,2160
14580994-MAR19-MVS-SUB-Weekday-01,3600
14581004-MAR19-MVS-SUB-Weekday-01,2700
14581021-MAR19-MVS-SUB-Weekday-01,1200
14581034-MAR19-MVS-SUB-Weekday-01,2700
14581042-MAR19-MVS-SUB-Weekday-01,2700
14581051-MAR19-MVS-SUB-Weekday-01,5400
14581057-MAR19-MVS-SUB-Weekday-01,1542
14581073-MAR19-MVS-SUB-Weekday-01,3600
14480442-MAR19-MVS-UM-Weekday-01,1200
14480468-MAR19-MVS-UM-Weekday-01,600
14480534-MAR19-MVS-UM-Weekday-01,1350
14480542-MAR19-MVS-UM-Weekday-01,900
14480622-MAR19-MVS-UM-Weekday-01,900
14480634-MAR19-MVS-UM-Weekday-01,600
14480812-MAR19-MVS-UM-Weekday-01,248
14480858-MAR19-MVS-UM-Weekday-01,490
14480873-MAR19-MVS-UM-Weekday-01,248
14480981-MAR19-MVS-UM-Weekday-01,490
14481195-MAR19-MVS-UM-Weekday-01,900
14481207-MAR19-MVS-UM-Weekday-01,600
14473438-MAR19-RAIL-Weekday-01,600
14473456-MAR19-RAIL-Weekday-01,600
14473541-MAR19-RAIL-Weekday-01,600
14473559-MAR19-RAIL-Weekday-01,600
14483571-MAR19-RAIL-Weekday-01,600
