route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,agency_raw_name,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,stop_distance,stop_is_skipped,arrival_h,arrival_m,departure_h,departure_m,tod,index,trip_num_for_shape,trip_num_total,num_pattern,trip_num_N_most,number_of_stops
724-95,AUG19-MVS-BUS-Weekday-01,15245097-AUG19-MVS-BUS-Weekday-01,Northbound 724 Ltd Stop/Brklyn Ctr TC/Starlite Ctr,0,1395,7240005,1.0,MT2019,,,,,,28500.0,28500.0,56803,1,0,0,1,,,7,55,7,55,pk,716,3,8,2,6,73
724-95,AUG19-MVS-BUS-Weekday-01,15245099-AUG19-MVS-BUS-Weekday-01,Northbound 724 Ltd Stop/Brklyn Ctr TC/Starlite Ctr,0,1397,7240005,1.0,MT2019,,,,,,35700.0,35700.0,56803,1,0,0,1,,,9,55,9,55,op,723,11,12,2,12,73
724-95,AUG19-MVS-BUS-Weekday-01,15245102-AUG19-MVS-BUS-Weekday-01,Northbound 724C Starlite Ctr/Target N Campus,0,1403,7240008,1.0,MT2019,,,,,,46260.0,46260.0,56803,1,0,0,1,,,12,51,12,51,op,724,1,12,2,12,92
724-95,AUG19-MVS-BUS-Weekday-01,15245132-AUG19-MVS-BUS-Weekday-01,Southbound 724D Ltd Stop /Brklyn Ctr TC / Downtown,1,2090,7240003,1.0,MT2019,,,,,,27120.0,27120.0,53222,1,0,0,1,,,7,32,7,32,pk,714,3,6,2,6,72
724-95,AUG19-MVS-BUS-Weekday-01,15245134-AUG19-MVS-BUS-Weekday-01,Southbound 724D Ltd Stop /Brklyn Ctr TC / Downtown,1,1395,7240003,1.0,MT2019,,,,,,32460.0,32460.0,53222,1,0,0,1,,,9,1,9,1,op,721,11,12,2,12,72
724-95,AUG19-MVS-BUS-Weekday-01,15245145-AUG19-MVS-BUS-Weekday-01,Southbound 724 Brklyn Ctr / Transit Ctr,1,2090,7240002,1.0,MT2019,,,,,,21600.0,21600.0,53222,1,0,0,1,,,6,0,6,0,pk,713,3,6,2,6,37
724-95,AUG19-MVS-BUS-Weekday-01,15245153-AUG19-MVS-BUS-Weekday-01,Southbound 724D Ltd Stop /Brklyn Ctr TC / Downtown,1,2084,7240007,1.0,MT2019,,,,,,47640.0,47640.0,50066,1,0,0,1,,,13,14,13,14,op,722,1,12,2,12,92
724-95,AUG19-MVS-BUS-Weekday-01,15245172-AUG19-MVS-BUS-Weekday-01,Northbound 724C Starlite Ctr/Target N Campus,0,2089,7240004,1.0,MT2019,,,,,,25560.0,25560.0,51846,1,0,1,1,,,7,6,7,6,pk,715,3,8,2,6,56
721-95,AUG19-MVS-BUS-Weekday-01,15245175-AUG19-MVS-BUS-Weekday-01,Northbound 721C  Henn Tech,0,2068,7210001,1.0,MT2019,,,,,,23400.0,23400.0,56823,1,0,0,1,,,6,30,6,30,pk,745,3,4,2,4,44
721-95,AUG19-MVS-BUS-Weekday-01,15245177-AUG19-MVS-BUS-Weekday-01,Northbound 721C  Henn Tech,0,2069,7210001,1.0,MT2019,,,,,,34200.0,34200.0,56823,1,0,0,1,,,9,30,9,30,op,752,12,12,1,12,44
