route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name
722-95,0,722,Brooklyn Ctr - Humboldt - Shingle Creek,,3,http://www.metrotransit.org/route/722,,000000,MT2019
723-95,0,723,Starlite - N Henn Comm College - Brooklyn Ctr,,3,http://www.metrotransit.org/route/723,,000000,MT2019
724-95,0,724,Ltd Stop - Target Campus - Starlite - Brooklyn Ctr,,3,http://www.metrotransit.org/route/724,,000000,MT2019
740-95,5,740,Plymouth - Fernbrook Ln - Xenium Ln,,3,http://www.metrotransit.org/route/740,,000000,MT2019
741-95,5,741,Plymouth - Annapolis - Campus Dr - Station 73,,3,http://www.metrotransit.org/route/741,,000000,MT2019
742-95,5,742,Plymouth - Express - Bass Lake Rd,,3,http://www.metrotransit.org/route/742,,000000,MT2019
747-95,5,747,Plymouth - Express - Station 73 - Mpls,,3,http://www.metrotransit.org/route/747,,000000,MT2019
755-95,0,755,Ltd Stop - Hwy 55 - Golden Valley Rd - Winnetka Av,,3,http://www.metrotransit.org/route/755,,000000,MT2019
756-95,0,756,Express- Hwy 55 - Mendelssohn Rd - Boone  - Mpls,,3,http://www.metrotransit.org/route/756,,000000,MT2019
758-95,0,758,Express - Douglas - MnDot P&R - Noble - Mpls,,3,http://www.metrotransit.org/route/758,,000000,MT2019
760-95,0,760,Express - Zane Av - 63rd Av - 65th Av P&R - Mpls,,3,http://www.metrotransit.org/route/760,,000000,MT2019
761-95,0,761,Express - Brooklyn Park - Xerxes - 49th Av - Mpls,,3,http://www.metrotransit.org/route/761,,000000,MT2019
762-95,2,762,Ltd Stop - Brooklyn Ctr - Humboldt Av - Mpls,,3,http://www.metrotransit.org/route/762,,000000,MT2019
763-95,0,763,Express - 85th Av - Brookdale Dr - Humboldt - Mpls,,3,http://www.metrotransit.org/route/763,,000000,MT2019
764-95,0,764,Express - Winnetka Av - 42nd Av - Mpls,,3,http://www.metrotransit.org/route/764,,000000,MT2019
765-95,0,765,Express - Target - Hwy 252 and 73rd Av P&R - Mpls,,3,http://www.metrotransit.org/route/765,,000000,MT2019
766-95,0,766,Express - Anoka -  Champlin - W River Rd - Mpls,,3,http://www.metrotransit.org/route/766,,000000,MT2019
767-95,0,767,Express - 63rd Av P&R - 65th Av P&R - Mpls,,3,http://www.metrotransit.org/route/767,,000000,MT2019
768-95,0,768,Express - Noble P&R - Mpls,,3,http://www.metrotransit.org/route/768,,000000,MT2019
771-95,5,771,Plymouth - Shuttle - SW Plymouth - Station 73,,3,http://www.metrotransit.org/route/771,,000000,MT2019
772-95,5,772,Plymouth - Express - Station 73,,3,http://www.metrotransit.org/route/772,,000000,MT2019
774-95,5,774,Plymouth - Express - Station 73,,3,http://www.metrotransit.org/route/774,,000000,MT2019
776-95,5,776,Plymouth - Express - Southwest Plymouth,,3,http://www.metrotransit.org/route/776,,000000,MT2019
777-95,5,777,Plymouth - Express - NW Plymouth - Station 73,,3,http://www.metrotransit.org/route/777,,000000,MT2019
780-95,4,780,Maple Grove - Express - Shepherd of the Grove P&R,,3,http://www.metrotransit.org/route/780,,000000,MT2019
781-95,4,781,Maple Grove - Express - Maple Grove Station,,3,http://www.metrotransit.org/route/781,,000000,MT2019
782-95,4,782,Maple Grove - Express - Zachary and 96th Av P&R,,3,http://www.metrotransit.org/route/782,,000000,MT2019
783-95,4,783,Maple Grove - Express - Crosswinds Church P&R,,3,http://www.metrotransit.org/route/783,,000000,MT2019
785-95,4,785,Maple Grove - Express - Parkway Station,,3,http://www.metrotransit.org/route/785,,000000,MT2019
787-95,4,787,Maple Grove - Midday Shuttle - Flex Route,,3,http://www.metrotransit.org/route/787,,000000,MT2019
788-95,4,788,Maple Grove - Bass Lake Rd - Crosswinds Church P&R,,3,http://www.metrotransit.org/route/788,,000000,MT2019
789-95,4,789,Maple Grove - Express - Maple Grove Sta - U of M,,3,http://www.metrotransit.org/route/789,,000000,MT2019
790-95,5,790,Plymouth - Express - Cub Foods - Four Seasons,,3,http://www.metrotransit.org/route/790,,000000,MT2019
791-95,5,791,Plymouth - Shuttle - Larch Ln - Four Seasons,,3,http://www.metrotransit.org/route/791,,000000,MT2019
793-95,5,793,Plymouth - Express - Cub Foods - Four Seasons,,3,http://www.metrotransit.org/route/793,,000000,MT2019
795-95,5,795,Plymouth - Express - Midday - Northeast Plymouth,,3,http://www.metrotransit.org/route/795,,000000,MT2019
801-95,2,801,Brooklyn Ctr - Columbia Heights - Rosedale,,3,http://www.metrotransit.org/route/801,,000000,MT2019
805-95,2,805,Anoka Traveler - Anoka - Coon Rapids - Northtown,,3,http://www.metrotransit.org/route/805,,000000,MT2019
824-95,0,824,Ltd Stop - Northtown - Monroe - University - Mpls,,3,http://www.metrotransit.org/route/824,,000000,MT2019
825-95,0,825,Ltd Stop - Northtown - St. Anthony - Mpls,,3,http://www.metrotransit.org/route/825,,000000,MT2019
831-95,2,831,Anoka Traveler - 117th Av - Polk - Northtown,,3,http://www.metrotransit.org/route/831,,000000,MT2019
850-95,0,850,Express - Riverdale P&R - Foley P&R - Mpls,,3,http://www.metrotransit.org/route/850,,000000,MT2019
852-95,0,852,Express - Anoka - Coon Rapids - Northtown - Mpls,,3,http://www.metrotransit.org/route/852,,000000,MT2019
854-95,0,854,Express - Paul Pkwy - Northdale - Northtown - Mpls,,3,http://www.metrotransit.org/route/854,,000000,MT2019
860-95,0,860,Express - Coon Rapids - Northtown - St Paul,,3,http://www.metrotransit.org/route/860,,000000,MT2019
865-95,0,865,Express - Paul Pkwy P&R - Blaine - Mpls,,3,http://www.metrotransit.org/route/865,,000000,MT2019
887-95,15,887,Northstar Link - St Cloud Link,,3,http://www.metrotransit.org/route/887,,000000,MT2019
888-95,0,888,Northstar - Big Lake - Elk River - Anoka - Mpls,,2,http://www.metrotransit.org/route/888,,000000,MT2019
901-95,0,Blue,METRO Blue Line,,1,http://www.metrotransit.org/route/901,0055A5,FFFFFF,MT2019
902-95,0,Green,METRO Green Line,,1,http://www.metrotransit.org/route/902,00B100,FFFFFF,MT2019
